Date,3M Normal,3M Enhanced,3M ML,6M Normal,6M Enhanced,6M ML,12M Normal,12M Enhanced,12M ML,Average Risk-free rate return (converted to monthly)
31/3/2006,0.0119,0.0114,0.0119,0.0768,0.0777,0.0768,0.0617,0.0659,0.0617,0.0031
30/4/2006,0.0749,0.0915,0.0749,0.0835,0.0855,0.0835,0.1050,0.1059,0.1050,0.0031
31/5/2006,-0.0605,-0.0731,-0.0605,-0.0637,-0.0609,-0.0637,-0.0779,-0.0710,-0.0779,0.0031
30/6/2006,0.0173,0.0112,0.0173,0.0010,-0.0045,0.0010,0.0034,0.0028,0.0034,0.0031
31/7/2006,-0.0132,-0.0298,-0.0132,-0.0191,-0.0177,-0.0191,-0.0201,-0.0182,-0.0201,0.0031
31/8/2006,-0.0101,-0.0196,-0.0101,-0.0375,-0.0315,-0.0375,-0.0454,-0.0360,-0.0454,0.0031
30/9/2006,-0.0005,0.0075,-0.0005,-0.0077,-0.0004,-0.0077,-0.0097,-0.0020,-0.0097,0.0031
31/10/2006,0.0619,0.0785,0.0619,0.0706,0.0561,0.0706,0.0519,0.0454,0.0519,0.0031
30/11/2006,0.0650,0.0808,0.0650,0.0546,0.0601,0.0546,0.0525,0.0553,0.0525,0.0031
31/12/2006,0.0021,0.0012,0.0021,0.0050,-0.0012,0.0050,-0.0042,-0.0059,-0.0042,0.0031
31/1/2007,0.0623,0.0614,0.0623,0.0507,0.0601,0.0507,0.0546,0.0633,0.0546,0.0031
28/2/2007,0.0901,0.0863,0.0901,0.0612,0.0548,0.0612,0.0797,0.0850,0.0797,0.0031
31/3/2007,0.0206,0.0211,0.0206,0.0029,0.0087,0.0029,0.0057,0.0065,0.0057,0.0031
30/4/2007,0.0669,0.0887,0.0669,0.0441,0.0459,0.0441,0.0585,0.0574,0.0585,0.0031
31/5/2007,-0.0518,-0.0563,-0.0518,-0.0450,-0.0526,-0.0450,-0.0705,-0.0631,-0.0705,0.0031
30/6/2007,0.1162,0.1123,0.1162,0.0773,0.0723,0.0773,0.0535,0.0528,0.0535,0.0031
31/7/2007,0.0872,0.1088,0.0872,0.0715,0.0863,0.0715,0.0494,0.0623,0.0494,0.0031
31/8/2007,-0.1036,-0.1014,-0.1036,-0.1350,-0.1309,-0.1350,-0.1221,-0.1185,-0.1221,0.0031
30/9/2007,0.0308,0.0398,0.0308,0.0209,0.0179,0.0209,0.0330,0.0300,0.0330,0.0031
31/10/2007,0.0461,0.0320,0.0461,0.0412,0.0400,0.0412,0.0207,0.0238,0.0207,0.0031
30/11/2007,-0.0909,-0.0943,-0.0909,-0.0843,-0.0728,-0.0843,-0.0949,-0.0876,-0.0949,0.0031
31/12/2007,0.0096,0.0158,0.0096,-0.0029,-0.0025,-0.0029,-0.0098,-0.0081,-0.0098,0.0031
31/1/2008,-0.0809,-0.1008,-0.0809,-0.0883,-0.0896,-0.0883,-0.0766,-0.0695,-0.0766,0.0031
