Date,Open,High,Low,Close,Adj Close,Volume,Earnings
24/06/1996,1146.69,1155.38,1146.69,1151,1151,29140400,
25/06/1996,1149.72,1149.72,1145.15,1146.88,1146.88,36751000,
26/06/1996,1146.66,1146.66,1130.11,1130.77,1130.77,40017800,
27/06/1996,1130.87,1135.62,1130.6,1135.62,1135.62,53059800,
28/06/1996,1135.5,1138.99,1126.78,1136.31,1136.31,40081600,
01/07/1996,1135.81,1137.31,1129.67,1137.05,1137.05,26486600,
02/07/1996,1137.86,1140.3,1136.44,1139.82,1139.82,37250600,
03/07/1996,1139.04,1139.04,1131.71,1135.07,1135.07,32811800,
04/07/1996,1135.32,1137.92,1132.76,1137.92,1137.92,30384600,
05/07/1996,1137.9,1139.05,1133.18,1133.18,1133.18,25087600,
08/07/1996,1133.84,1133.84,1114.35,1129.37,1129.37,24655400,
09/07/1996,1130.39,1135.51,1124.34,1135.51,1135.51,24588200,
10/07/1996,1135.51,1135.7,1129.11,1132.13,1132.13,41968600,
11/07/1996,1132.18,1138.43,1131.92,1137.97,1137.97,49898400,
12/07/1996,1138.03,1140.97,1136.41,1138.17,1138.17,44831600,
15/07/1996,1138.63,1140.45,1133.95,1134.41,1134.41,36232800,
16/07/1996,1131.04,1131.04,1122.68,1123.77,1123.77,38753800,
17/07/1996,1123.7,1129.97,1123.7,1126.5,1126.5,46299800,
18/07/1996,1126.98,1129.59,1122.03,1123.36,1123.36,46781000,
19/07/1996,1125.56,1127.54,1122.02,1126.4,1126.4,36754800,
22/07/1996,1126.53,1126.75,1109.22,1111.97,1111.97,37814400,
23/07/1996,1110.83,1110.83,1102.66,1107.28,1107.28,43587600,
24/07/1996,1108.06,1109.89,1094.56,1096.31,1096.31,48827200,
25/07/1996,1096.01,1099.5,1089.67,1092.82,1092.82,46437400,
26/07/1996,1094.25,1097.22,1083.8,1084.08,1084.08,34995200,
30/07/1996,1083.48,1083.48,1049.03,1053.28,1053.28,31407400,
31/07/1996,1054.38,1068.23,1052.26,1068.23,1068.23,36629600,
01/08/1996,1067.39,1088.32,1066.77,1087.97,1087.97,39710800,
02/08/1996,1093.2,1096.53,1089.07,1096.17,1096.17,39318000,
05/08/1996,1093.56,1107.09,1093.56,1106.29,1106.29,44207000,
06/08/1996,1105.71,1105.71,1089.63,1093.52,1093.52,38965600,
07/08/1996,1092.84,1100.13,1089.96,1100.13,1100.13,30159000,
08/08/1996,1099.59,1100.84,1098.02,1100.72,1100.72,36410600,
09/08/1996,1100.76,1105.2,1098.35,1105.2,1105.2,34711000,
12/08/1996,1103.65,1103.76,1099.41,1103.76,1103.76,25901000,
13/08/1996,1103.94,1105.53,1100.9,1105.35,1105.35,31655800,
14/08/1996,1105.17,1105.17,1098.97,1102.56,1102.56,29555800,
15/08/1996,1102.97,1103.75,1095.71,1096.04,1096.04,19833200,
16/08/1996,1096.28,1102.09,1096.04,1102.09,1102.09,18421400,
19/08/1996,1102.37,1105.8,1101.81,1103.36,1103.36,19494800,
20/08/1996,1103.68,1105.44,1101.39,1105.44,1105.44,28170800,
