Date,3M Normal,3M Enhanced,3M ML,6M Normal,6M Enhanced,6M ML,12M Normal,12M Enhanced,12M ML,Average Risk-free rate return (converted to monthly)
31/3/2008,-0.073,-0.067,-0.073,-0.066,-0.064,-0.066,-0.087,-0.079,-0.087,0.003076543
30/4/2008,0.046,0.047,0.046,0.027,0.027,0.027,0.037,0.038,0.037,0.003076543
31/5/2008,0.011,0.003,0.011,0.021,0.017,0.021,0.021,0.016,0.021,0.003076543
30/6/2008,-0.088,-0.085,-0.088,-0.061,-0.064,-0.061,-0.076,-0.077,-0.076,0.003076543
31/7/2008,-0.024,-0.028,-0.024,-0.025,-0.024,-0.025,-0.037,-0.033,-0.037,0.003076543
31/8/2008,-0.059,-0.050,-0.059,-0.073,-0.053,-0.073,-0.066,-0.059,-0.066,0.003076543
30/9/2008,-0.068,-0.071,-0.068,-0.065,-0.060,-0.065,-0.066,-0.062,-0.066,0.003076543
31/10/2008,-0.142,-0.142,-0.142,-0.147,-0.147,-0.147,-0.133,-0.135,-0.135,0.003076543
30/11/2008,-0.034,-0.039,-0.039,-0.033,-0.019,-0.019,-0.032,-0.017,-0.017,0.003076543
31/12/2008,-0.005,-0.008,-0.008,0.009,0.011,0.011,0.004,0.003,0.003,0.003076543
31/1/2009,0.007,0.009,0.009,-0.009,-0.012,-0.012,-0.015,-0.018,-0.018,0.003076543
28/2/2009,-0.005,-0.006,-0.006,0.006,-0.001,-0.001,0.000,0.002,0.002,0.003076543
31/3/2009,-0.021,-0.021,-0.021,-0.043,-0.039,-0.039,-0.033,-0.023,-0.023,0.003076543
30/4/2009,0.170,0.176,0.170,0.151,0.147,0.151,0.052,0.050,0.052,0.003076543
31/5/2009,0.083,0.088,0.083,0.050,0.050,0.050,0.017,0.028,0.017,0.003076543
30/6/2009,0.034,0.033,0.034,0.030,0.035,0.030,0.022,0.021,0.022,0.003076543
31/7/2009,0.077,0.079,0.077,0.062,0.060,0.062,0.054,0.059,0.054,0.003076543
31/8/2009,0.004,0.004,0.004,-0.020,-0.018,-0.020,0.012,0.014,0.012,0.003076543
30/9/2009,0.029,0.031,0.029,0.009,0.011,0.009,0.012,0.008,0.012,0.003076543
31/10/2009,0.044,0.028,0.044,0.045,0.049,0.045,0.028,0.020,0.028,0.003076543
30/11/2009,-0.010,-0.001,-0.010,-0.011,-0.008,-0.011,-0.030,-0.029,-0.030,0.003076543
31/12/2009,0.051,0.052,0.051,0.038,0.029,0.038,0.042,0.037,0.042,0.003076543
31/1/2010,0.037,0.037,0.037,0.034,0.031,0.034,0.044,0.038,0.044,0.003076543
28/2/2010,0.016,0.019,0.016,0.014,0.006,0.014,0.009,0.005,0.009,0.003076543
31/3/2010,0.039,0.040,0.039,0.064,0.070,0.064,0.066,0.068,0.066,0.003076543
30/4/2010,0.010,0.002,0.010,0.001,0.000,0.001,0.012,0.013,0.012,0.003076543
31/5/2010,-0.073,-0.075,-0.073,-0.071,-0.070,-0.071,-0.072,-0.073,-0.072,0.003076543
30/6/2010,0.031,0.026,0.031,0.027,0.021,0.027,0.043,0.041,0.043,0.003076543
31/7/2010,0.079,0.072,0.079,0.062,0.060,0.062,0.059,0.054,0.059,0.003076543
31/8/2010,-0.012,-0.011,-0.012,-0.026,-0.026,-0.026,-0.039,-0.040,-0.039,0.003076543
30/9/2010,0.049,0.048,0.049,0.036,0.035,0.036,0.038,0.042,0.038,0.003076543
31/10/2010,0.049,0.056,0.049,0.035,0.042,0.035,0.028,0.039,0.028,0.003076543
30/11/2010,-0.031,-0.031,-0.031,-0.013,-0.014,-0.013,-0.026,-0.028,-0.026,0.003076543
31/12/2010,0.060,0.062,0.060,0.055,0.055,0.055,0.048,0.046,0.048,0.003076543
31/1/2011,0.024,0.020,0.024,0.019,0.008,0.019,0.021,0.009,0.021,0.003076543
28/2/2011,-0.048,-0.048,-0.048,-0.056,-0.058,-0.056,-0.044,-0.043,-0.044,0.003076543
31/3/2011,0.083,0.079,0.083,0.070,0.065,0.070,0.073,0.073,0.073,0.003076543
